lengthscale,likelihood_variance,kernel_variance,trainable_kernel,trainable_variance,trainable_lengthscale,avg_rmse,rmse_list
"[0.008, 0.008, 2]",400.0,400.0,0.0,0.0,0.0,19.19188832497515,"[10.738971835780927, 24.496027373910568, 13.295111642146388, 18.37630675806642, 17.412111448565685, 24.73940413278885, 16.75489480109052, 13.38014113282965, 25.721785233245964, 27.004128891326566]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,0.0,1.0,17.32642893911044,"[11.931398578266325, 21.768562615873982, 14.320995597656223, 16.96785561938652, 13.93561872428152, 21.343504755016887, 15.88412163844512, 12.158585000487918, 21.445588074177437, 23.508058787512446]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,1.0,0.0,19.644017493054285,"[10.71656830552756, 24.436467134638722, 13.3032849893644, 18.369128156032552, 21.610880862128425, 24.725782464422412, 16.729575450473032, 13.38093753896875, 25.717730582702153, 27.449819446284852]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,1.0,1.0,17.45727635497581,"[11.872717443023895, 22.09413449876978, 11.797465947641122, 16.957970924944682, 13.984691177200856, 25.504138539130807, 15.883745394462366, 12.158585000487918, 21.407356877478254, 22.911957746618423]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,0.0,0.0,20.221671296747687,"[10.79831007918821, 27.951653581668438, 16.097994034961257, 21.14697237299747, 13.355047137290814, 25.4735176945283, 20.121089524031312, 13.505422596753743, 25.983363612162297, 27.783342333895032]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,0.0,1.0,17.66325207681937,"[11.93308707994083, 22.13543746734363, 16.971427719081827, 13.988123244516402, 21.34574712136315, 15.884998036009764, 12.158585000487918, 21.491700700734004, 23.060162321896808]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,1.0,0.0,19.1471461788372,"[10.555183593456322, 25.693254763432126, 13.55072887729039, 19.16213090299953, 13.23711775531044, 24.926426466861916, 17.33311040102818, 13.441212089591238, 25.78970250612191, 27.782594432279986]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,1.0,1.0,17.820338058064277,"[11.890236501138732, 20.945024609340418, 18.969624832610762, 13.98301277974481, 25.504138539130807, 15.88462076108386, 13.940278288656964, 21.445768152807855]"
"[0.008, 0.008, 2]",400.0,625.0,0.0,0.0,0.0,23.307920249762084,"[19.481885370053423, 27.13395512947075]"
"[0.008, 0.008, 2]",400.0,625.0,0.0,0.0,1.0,18.68202798171174,"[14.5514498827679, 22.812606080655584]"
"[0.008, 0.008, 2]",400.0,625.0,0.0,1.0,0.0,24.235496210777303,"[20.88885245773752, 27.582139963817085]"
"[0.008, 0.008, 2]",400.0,625.0,0.0,1.0,1.0,18.214026911316992,"[13.593969917653418, 22.834083904980563]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,0.0,0.0,19.19188832497515,"[10.738971835780927, 24.496027373910568, 13.295111642146388, 18.37630675806642, 17.412111448565685, 24.73940413278885, 16.75489480109052, 13.38014113282965, 25.721785233245964, 27.004128891326566]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,0.0,1.0,17.32642893911044,"[11.931398578266325, 21.768562615873982, 14.320995597656223, 16.96785561938652, 13.93561872428152, 21.343504755016887, 15.88412163844512, 12.158585000487918, 21.445588074177437, 23.508058787512446]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,1.0,0.0,19.644017493054285,"[10.71656830552756, 24.436467134638722, 13.3032849893644, 18.369128156032552, 21.610880862128425, 24.725782464422412, 16.729575450473032, 13.38093753896875, 25.717730582702153, 27.449819446284852]"
"[0.008, 0.008, 2]",400.0,400.0,0.0,1.0,1.0,17.45727635497581,"[11.872717443023895, 22.09413449876978, 11.797465947641122, 16.957970924944682, 13.984691177200856, 25.504138539130807, 15.883745394462366, 12.158585000487918, 21.407356877478254, 22.911957746618423]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,0.0,0.0,20.221671296747687,"[10.79831007918821, 27.951653581668438, 16.097994034961257, 21.14697237299747, 13.355047137290814, 25.4735176945283, 20.121089524031312, 13.505422596753743, 25.983363612162297, 27.783342333895032]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,0.0,1.0,17.034262273642227,"[11.93308707994083, 22.13543746734363]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,1.0,0.0,19.1471461788372,"[10.555183593456322, 25.693254763432126, 13.55072887729039, 19.16213090299953, 13.23711775531044, 24.926426466861916, 17.33311040102818, 13.441212089591238, 25.78970250612191, 27.782594432279986]"
"[0.008, 0.008, 2]",400.0,400.0,1.0,1.0,1.0,16.417630555239576,"[11.890236501138732, 20.945024609340418]"
"[0.008, 0.008, 2]",400.0,625.0,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,0.0,0.0,1.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,0.0,1.0,1.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,1.0,0.0,1.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",400.0,625.0,1.0,1.0,1.0,,[]
"[0.008, 0.008, 2]",400.0,,0.0,0.0,0.0,20.316959942911037,"[11.909789481927893, 27.926305402062443, 16.060239543069912, 21.119013288409384, 13.225094053536276, 25.467342589458305, 20.086907126301885, 13.619727171569485, 25.981754458561987, 27.77342631421279]"
"[0.008, 0.008, 2]",400.0,,0.0,0.0,1.0,20.060255115194195,"[11.659971275051717, 27.892159452738426, 15.957093608612938, 21.07431045613661, 13.13526903926807, 25.082030895514627, 20.008566947301397, 13.137389553856083, 25.332894926077547, 27.322864997384542]"
"[0.008, 0.008, 2]",400.0,,0.0,1.0,0.0,20.31730642966125,"[11.912368050634603, 27.925375388509675, 16.062447791683322, 21.11920097783535, 13.225835137439, 25.466706846986437, 20.087176041367204, 13.619794463560257, 25.98162385016116, 27.77253574843547]"
"[0.008, 0.008, 2]",400.0,,0.0,1.0,1.0,20.116067442210966,"[11.842813832134132, 27.915769518769082, 15.316314207438078, 20.98715657367336, 13.135650747551706, 25.41166730784208, 19.609170567281932, 13.553374548995818, 25.90821281630193, 27.480544302121533]"
"[0.008, 0.008, 2]",400.0,,1.0,0.0,0.0,19.669605479750512,"[10.79829546234695, 27.10699564543619, 14.434835136797249, 20.125182605387693, 13.355078761639776, 25.272658579678087, 18.72314554017186, 13.50542203533867, 25.914533480710315, 27.459907549998345]"
